familyType,stateAbbrev,countyortownName,FilingStatus,empl_healthcare,ownorrent,assets.cash,assets.car1,income,NetResources,exp.childcare,exp.transportation,exp.food,exp.misc,exp.utilities,exp.rentormortgage,exp.healthcare,exp.schoolMeals,exp.tech,exp.housing,value.tanf,value.liheap,value.CCDF,value.HeadStart,value.earlyHeadStart,value.PreK,premium.medicaid.adult,premium.medicaid.child,value.medicaid.adult,value.medicaid.child,premium.aca,value.aca,value.employerhealthcare,value.section8,value.snap,value.schoolmeals,value.wic,tax.income.fed,tax.income.state,tax.FICA,value.eitc.fed,value.ctc.fed,value.cdctc.fed,value.eitc.state,value.ctc.state,value.cdctc.state,value.ssi,value.ssdi
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,1000,-91135.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,76,400,0,0,220,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,2000,-89592.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,153,800,0,0,440,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,3000,-88049.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,230,1200,0,0,660,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,4000,-86505.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,306,1600,0,0,880,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,5000,-84961.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,382,2000,0,0,1100,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,6000,-83418.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,459,2400,0,0,1320,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,7000,-81875.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,536,2800,0,0,1540,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,8000,-80331.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,612,3200,0,0,1760,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,9000,-78787.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,688,3600,0,0,1980,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,10000,-77244.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,765,4000,0,0,2200,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,11000,-75701.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,842,4400,0,0,2420,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,12000,-74157.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,918,4800,0,0,2640,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,13000,-72613.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,994,5200,0,0,2860,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,14000,-71070.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,1071,5600,0,0,3080,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",DC,District of Columbia,2,0,rent,0,0,15000,-69527.1,28819,6214,13946.1,8982,4119,26421,25706,1353.98,1448,30540,0,0,0,0,0,0,0,0,0,11048,,0,0,0,11928,0,0,0,0,1148,6000,0,0,3300,0,0,0,0
