familyType,stateAbbrev,countyortownName,FilingStatus,empl_healthcare,ownorrent,assets.cash,assets.car1,income,NetResources,exp.childcare,exp.transportation,exp.food,exp.misc,exp.utilities,exp.rentormortgage,exp.healthcare,exp.schoolMeals,exp.tech,exp.housing,value.tanf,value.liheap,value.CCDF,value.HeadStart,value.earlyHeadStart,value.PreK,premium.medicaid.adult,premium.medicaid.child,value.medicaid.adult,value.medicaid.child,premium.aca,value.aca,value.employerhealthcare,value.section8,value.snap,value.schoolmeals,value.wic,tax.income.fed,tax.income.state,tax.FICA,value.eitc.fed,value.ctc.fed,value.cdctc.fed,value.eitc.state,value.ctc.state,value.cdctc.state,value.ssi,value.ssdi
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,1000,-97133.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,76,400,0,0,332,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,2000,-95470.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,153,800,0,0,672,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,3000,-93807.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,230,1200,0,0,1012,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,4000,-92143.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,306,1600,0,0,1352,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,5000,-90479.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,382,2000,0,0,1692,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,6000,-88816.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,459,2400,0,0,2032,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,7000,-87153.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,536,2800,0,0,2372,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,8000,-85489.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,612,3200,0,0,2712,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,9000,-83825.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,688,3600,0,0,3052,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,10000,-82461.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,765,4000,0,0,3093,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,11000,-81478.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,842,4400,0,0,2753,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,12000,-80494.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,918,4800,0,0,2413,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",CA,Los Angeles County,2,0,rent,0,0,13000,-79510.1,24102,11881,13946.1,9728,4119,31653,20056,1353.98,1448,35772,0,0,0,0,0,0,0,0,0,6216,,0,0,0,11928,0,0,0,0,994,5200,0,0,2073,0,0,0,0
