familyType,stateAbbrev,countyortownName,FilingStatus,empl_healthcare,ownorrent,assets.cash,assets.car1,income,NetResources,exp.childcare,exp.transportation,exp.food,exp.misc,exp.utilities,exp.rentormortgage,exp.healthcare,exp.schoolMeals,exp.tech,exp.housing,value.tanf,value.liheap,value.CCDF,value.HeadStart,value.earlyHeadStart,value.PreK,premium.medicaid.adult,premium.medicaid.child,value.medicaid.adult,value.medicaid.child,premium.aca,value.aca,value.employerhealthcare,value.section8,value.snap,value.schoolmeals,value.wic,tax.income.fed,tax.income.state,tax.FICA,value.eitc.fed,value.ctc.fed,value.cdctc.fed,value.eitc.state,value.ctc.state,value.cdctc.state,value.ssi,value.ssdi
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,1000,-109441.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,76,400,0,0,120,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,2000,-108028.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,153,800,0,0,240,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,3000,-106615.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,230,1200,0,0,360,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,4000,-105201.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,306,1600,0,0,480,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,5000,-103787.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,382,2000,0,0,600,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,6000,-102374.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,459,2400,0,0,720,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,7000,-100961.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,536,2800,0,0,840,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,8000,-99547.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,612,3200,0,0,960,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,9000,-98133.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,688,3600,0,0,1080,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,10000,-96720.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,765,4000,0,0,1200,0,0,0,0
"Family of 2 adult(s), and 2 child(ren)",NY,New York County,2,0,rent,0,0,11000,-95307.1,27311,7528,13946.1,10201,4119,37989,26839,1353.98,1448,42108,0,0,0,0,0,0,0,0,0,6598,,0,0,0,11928,0,0,0,0,842,4400,0,0,1320,0,0,0,0
